item-db-1  | 2026-04-22T12:17:25.563+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=4a46d4560ef6
item-db-1  | 2026-04-22T12:17:25.563+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db-1  | 2026-04-22T12:17:25.563+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db-1  | 2026-04-22T12:17:25.563+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db-1  | 2026-04-22T12:17:25.563+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db-1  | 2026-04-22T12:17:25.563+0000 I CONTROL  [initandlisten] modules: none
item-db-1  | 2026-04-22T12:17:25.563+0000 I CONTROL  [initandlisten] build environment:
item-db-1  | 2026-04-22T12:17:25.563+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db-1  | 2026-04-22T12:17:25.563+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db-1  | 2026-04-22T12:17:25.563+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-db-1  | 2026-04-22T12:17:25.563+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db-1  | 2026-04-22T12:17:25.565+0000 I STORAGE  [initandlisten] 
item-db-1  | 2026-04-22T12:17:25.565+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db-1  | 2026-04-22T12:17:25.565+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db-1  | 2026-04-22T12:17:25.566+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=1294M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db-1  | 2026-04-22T12:17:25.724+0000 I STORAGE  [initandlisten] WiredTiger message [1776860245:724265][1:0x7f7968143a40], txn-recover: Set global recovery timestamp: 0
item-db-1  | 2026-04-22T12:17:25.750+0000 I CONTROL  [initandlisten] 
item-db-1  | 2026-04-22T12:17:25.750+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db-1  | 2026-04-22T12:17:25.750+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db-1  | 2026-04-22T12:17:25.750+0000 I CONTROL  [initandlisten] 
item-db-1  | 2026-04-22T12:17:25.750+0000 I CONTROL  [initandlisten] 
item-db-1  | 2026-04-22T12:17:25.750+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
item-db-1  | 2026-04-22T12:17:25.750+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
item-db-1  | 2026-04-22T12:17:25.750+0000 I CONTROL  [initandlisten] 
item-db-1  | 2026-04-22T12:17:25.750+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 12f86b1b-6e2e-4a96-b622-8c84c94c3c55
item-db-1  | 2026-04-22T12:17:25.760+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
item-db-1  | 2026-04-22T12:17:25.760+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 2b34e585-d1dd-401a-9855-22a0a0fc47ce
item-db-1  | 2026-04-22T12:17:25.774+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db-1  | 2026-04-22T12:17:25.774+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db-1  | 2026-04-22T12:17:25.774+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-app-1  | 
item-app-1  | > docker-software-delivery@1.0.0 start /app
item-app-1  | > node ./bin/www
item-app-1  | 
item-app-1  | NODE_ENV: production
item-app-1  | Connected to database
item-app-1  | 
item-app-1  | > docker-software-delivery@1.0.0 start /app
item-app-1  | > node ./bin/www
item-app-1  | 
item-app-1  | NODE_ENV: production
item-app-1  | /app/node_modules/mongodb/lib/mongo_client.js:421
item-app-1  |           throw err
item-app-1  |           ^
item-app-1  | 
item-app-1  | AssertionError [ERR_ASSERTION]: null == Error [MongoError]: failed to connect to server [item-db:27017] on first connect [Error: connect ECONNREFUSED 172.19.0.2:27017
item-app-1  |     at TCPConnectWrap.afterConnect [as oncomplete] (net.js:1159:16) {
item-app-1  |   name: 'MongoError'
item-app-1  | }]
item-app-1  |     at Pool.<anonymous> (/app/node_modules/mongodb-core/lib/topologies/server.js:336:35)
item-app-1  |     at Pool.emit (events.js:400:28)
item-app-1  |     at Connection.<anonymous> (/app/node_modules/mongodb-core/lib/connection/pool.js:280:12)
item-app-1  |     at Object.onceWrapper (events.js:520:26)
item-app-1  |     at Connection.emit (e...
item-app-1  |     at /app/app.js:24:10
item-app-1  |     at connectCallback (/app/node_modules/mongodb/lib/mongo_client.js:527:5)
item-db-1   | 2026-04-22T12:17:25.774+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-app-1  |     at /app/node_modules/mongodb/lib/mongo_client.js:418:11
item-app-1  |     at processTicksAndRejections (internal/process/task_queues.js:77:11) {
item-app-1  |   generatedMessage: true,
item-app-1  |   code: 'ERR_ASSERTION',
item-app-1  |   actual: null,
item-app-1  |   expected: Error [MongoError]: failed to connect to server [item-db:27017] on first connect [Error: connect ECONNREFUSED 172.19.0.2:27017
item-app-1  |       at TCPConnectWrap.afterConnect [as oncomplete] (net.js:1159:16) {
item-app-1  |     name: 'MongoError'
item-app-1  |   }]
item-app-1  |       at Pool.<anonymous> (/app/node_modules/mongodb-core/lib/topologies/server.js:336:35)
item-app-1  |       at Pool.emit (events.js:400:28)
item-app-1  |       at Connection.<anonymous> (/app/node_modules/mongodb-core/lib/connection/pool.js:280:12)
item-app-1  |       at Object.onceWrapper (events.js:520:26)
item-app-1  |       at Connection.emit (events.js:400:28)
item-app-1  |       at Socket.<anonymous> (/app/node_modules/mongodb-core/lib/connection/connection.js:189:49)
item-app-1  |       at Object.onceWrapper (events.js:520:26)
item-app-1  |       at Socket.emit (events.js:400:28)
item-app-1  |       at emitErrorNT (internal/streams/destroy.js:106:8)
item-app-1  |       at emitErrorCloseNT (internal/streams/destroy.js:74:3),
item-app-1  |   operator: '=='
item-app-1  | }
item-app-1  | npm ERR! code ELIFECYCLE
item-app-1  | npm ERR! errno 1
item-app-1  | npm ERR! docker-software-delivery@1.0.0 start: `node ./bin/www`
item-app-1  | npm ERR! Exit status 1
item-app-1  | npm ERR! 
item-app-1  | npm ERR! Failed at the docker-software-delivery@1.0.0 start script.
item-app-1  | npm ERR! This is probably not a problem with npm. There is likely additional logging output above.
item-app-1  | 
item-app-1  | npm ERR! A complete log of this run can be found in:
item-app-1  | npm ERR!     /root/.npm/_logs/2026-04-22T12_22_58_095Z-debug.log
item-app-1  | 
item-app-1  | > docker-software-delivery@1.0.0 start /app
item-app-1  | > node ./bin/www
item-app-1  | 
item-app-1  | NODE_ENV: production
item-db-1   | 2026-04-22T12:17:25.777+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: 14e45558-8757-4484-81be-1c3ec3001419
item-db-1   | 2026-04-22T12:17:25.791+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
item-db-1   | 2026-04-22T12:17:25.791+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
item-db-1   | 2026-04-22T12:17:25.792+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
item-db-1   | 2026-04-22T12:19:46.420+0000 I NETWORK  [listener] connection accepted from 172.19.0.3:47960 #1 (1 connection now open)
item-db-1   | 2026-04-22T12:19:46.425+0000 I NETWORK  [conn1] received client metadata from 172.19.0.3:47960 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "6.12.76-linuxkit" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
item-db-1   | 2026-04-22T12:19:59.650+0000 I NETWORK  [conn1] end connection 172.19.0.3:47960 (0 connections now open)
item-db-1   | 2026-04-22T12:19:59.834+0000 I CONTROL  [signalProcessingThread] got signal 15 (Terminated), will terminate after current cmd ends
item-db-1   | 2026-04-22T12:19:59.834+0000 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
item-db-1   | 2026-04-22T12:19:59.835+0000 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
item-db-1   | 2026-04-22T12:19:59.837+0000 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
item-app-1  | Connected to database
item-app-1  | [0mGET / [32m200 [0m100.241 ms - 785[0m
item-db-1   | 2026-04-22T12:19:59.840+0000 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
item-db-1   | 2026-04-22T12:19:59.880+0000 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
item-app-1  | [0mGET /javascripts/dist/dist.min.js [32m200 [0m1.692 ms - 186999[0m
item-app-1  | [0mGET /stylesheets/style.css [32m200 [0m23.865 ms - 519[0m
item-app-1  | [0mGET /api [32m200 [0m4.256 ms - 2[0m
item-app-1  | [0mGET /favicon.ico [33m404 [0m6.844 ms - 270[0m
item-db-1   | 2026-04-22T12:19:59.880+0000 I CONTROL  [signalProcessingThread] now exiting
item-db-1   | 2026-04-22T12:19:59.880+0000 I CONTROL  [signalProcessingThread] shutting down with code:0
item-db-1   | 2026-04-22T12:22:57.596+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=4a46d4560ef6
item-db-1   | 2026-04-22T12:22:57.596+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db-1   | 2026-04-22T12:22:57.596+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db-1   | 2026-04-22T12:22:57.596+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db-1   | 2026-04-22T12:22:57.596+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db-1   | 2026-04-22T12:22:57.596+0000 I CONTROL  [initandlisten] modules: none
item-db-1   | 2026-04-22T12:22:57.596+0000 I CONTROL  [initandlisten] build environment:
item-db-1   | 2026-04-22T12:22:57.596+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db-1   | 2026-04-22T12:22:57.596+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db-1   | 2026-04-22T12:22:57.596+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-db-1   | 2026-04-22T12:22:57.596+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db-1   | 2026-04-22T12:22:57.597+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
item-db-1   | 2026-04-22T12:22:57.597+0000 I STORAGE  [initandlisten] 
item-db-1   | 2026-04-22T12:22:57.597+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db-1   | 2026-04-22T12:22:57.597+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db-1   | 2026-04-22T12:22:57.597+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=1294M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db-1   | 2026-04-22T12:22:58.046+0000 I STORAGE  [initandlisten] WiredTiger message [1776860578:46342][1:0x7fed56526a40], txn-recover: Main recovery loop: starting at 1/22272
item-db-1   | 2026-04-22T12:22:58.167+0000 I STORAGE  [initandlisten] WiredTiger message [1776860578:167506][1:0x7fed56526a40], txn-recover: Recovering log 1 through 2
item-db-1   | 2026-04-22T12:22:58.228+0000 I STORAGE  [initandlisten] WiredTiger message [1776860578:228788][1:0x7fed56526a40], txn-recover: Recovering log 2 through 2
item-db-1   | 2026-04-22T12:22:58.288+0000 I STORAGE  [initandlisten] WiredTiger message [1776860578:288310][1:0x7fed56526a40], txn-recover: Set global recovery timestamp: 0
item-db-1   | 2026-04-22T12:22:58.308+0000 I CONTROL  [initandlisten] 
item-db-1   | 2026-04-22T12:22:58.308+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db-1   | 2026-04-22T12:22:58.308+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db-1   | 2026-04-22T12:22:58.308+0000 I CONTROL  [initandlisten] 
item-db-1   | 2026-04-22T12:22:58.308+0000 I CONTROL  [initandlisten] 
item-db-1   | 2026-04-22T12:22:58.308+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
item-db-1   | 2026-04-22T12:22:58.308+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
item-db-1   | 2026-04-22T12:22:58.308+0000 I CONTROL  [initandlisten] 
item-db-1   | 2026-04-22T12:22:58.311+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db-1   | 2026-04-22T12:22:58.312+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db-1   | 2026-04-22T12:22:58.312+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db-1   | 2026-04-22T12:22:58.312+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db-1   | 2026-04-22T12:22:58.703+0000 I NETWORK  [listener] connection accepted from 172.19.0.3:49596 #1 (1 connection now open)
item-db-1   | 2026-04-22T12:22:58.705+0000 I NETWORK  [conn1] received client metadata from 172.19.0.3:49596 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "6.12.76-linuxkit" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
item-db-1   | 2026-04-22T12:25:09.444+0000 I NETWORK  [conn1] end connection 172.19.0.3:49596 (0 connections now open)
item-db-1   | 2026-04-22T12:25:09.625+0000 I CONTROL  [signalProcessingThread] got signal 15 (Terminated), will terminate after current cmd ends
item-db-1   | 2026-04-22T12:25:09.625+0000 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
item-db-1   | 2026-04-22T12:25:09.625+0000 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
item-db-1   | 2026-04-22T12:25:09.632+0000 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
item-db-1   | 2026-04-22T12:25:09.635+0000 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
item-db-1   | 2026-04-22T12:25:09.714+0000 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
item-db-1   | 2026-04-22T12:25:09.714+0000 I CONTROL  [signalProcessingThread] now exiting
item-db-1   | 2026-04-22T12:25:09.714+0000 I CONTROL  [signalProcessingThread] shutting down with code:0
